application_id,age,city_tier,employment_type,employment_years,annual_income_inr,residence_type,bureau_score,credit_inquiries_6m,overdue_accounts,existing_emi_inr,bank_balance_inr,loan_type,loan_amount_inr,loan_term_months,interest_rate,proposed_emi_inr,foir,loan_to_income_ratio,default
INR0037094,38,Delhi NCR,Salaried,5.7,477018.0,Owned,600.0,2,2,15097.0,165546.0,Consumer Durable,132106.0,24,20.85,6779.0,0.5503,0.2769,0
INR0050844,42,Hyderabad,Salaried,14.0,670591.0,Owned,649.0,2,1,12988.0,295007.0,Personal Loan,166615.0,12,17.81,15260.0,0.5055,0.2485,0
INR0053686,63,Hyderabad,Salaried,30.7,451910.0,Family Owned,754.0,1,0,1307.0,124742.0,Personal Loan,227176.0,18,10.24,13668.0,0.3976,0.5027,0
INR0018993,34,Tier 2/3,Salaried,1.0,,Rented,647.0,2,0,844.0,13972.0,Personal Loan,112132.0,36,14.34,3851.0,0.4079,0.8118,0
INR0060424,44,Delhi NCR,Salaried,18.3,778919.0,Rented,686.0,1,0,11679.0,176658.0,Two Wheeler,273538.0,48,15.28,7651.0,0.2978,0.3512,0
INR0081454,59,Tier 2/3,Salaried,29.2,1264393.0,Family Owned,704.0,0,0,41752.0,92245.0,Business Loan,1779272.0,48,11.67,46563.0,0.8382,1.4072,0
INR0015188,22,Delhi NCR,Salaried,0.0,394920.0,Family Owned,539.0,0,4,12850.0,38072.0,Personal Loan,119958.0,48,20.7,3695.0,0.5027,0.3038,1
INR0087540,37,Delhi NCR,Self Employed,4.7,140044.0,Owned,622.0,1,1,3012.0,18172.0,Two Wheeler,20000.0,60,16.53,492.0,0.3003,0.1428,0
INR0072925,33,Delhi NCR,Salaried,3.0,1481386.0,Rented,587.0,1,0,10772.0,181956.0,Personal Loan,362513.0,36,19.53,13386.0,0.1957,0.2447,0
INR0023025,46,Bengaluru,Salaried,19.7,1051820.0,Rented,633.0,2,1,18337.0,427729.0,Personal Loan,399474.0,12,17.19,36470.0,0.6253,0.3798,0
INR0022060,28,Bengaluru,Salaried,1.1,1558310.0,Family Owned,635.0,0,1,31846.0,219446.0,Business Loan,453959.0,24,16.23,22278.0,0.4168,0.2913,0
INR0071433,28,Tier 2/3,Self Employed,2.0,288706.0,Family Owned,648.0,0,0,7100.0,9719.0,Consumer Durable,177960.0,12,16.26,16168.0,0.9671,0.6164,1
INR0060437,54,Chennai,Self Employed,30.3,2095954.0,Rented,753.0,0,0,89662.0,296099.0,Personal Loan,1238466.0,24,8.54,56318.0,0.8358,0.5909,0
INR0092849,62,Bengaluru,Self Employed,33.5,1604210.0,Rented,687.0,0,0,5822.0,147816.0,Consumer Durable,572128.0,12,12.86,51063.0,0.4255,0.3566,0
INR0013076,45,Hyderabad,Professional,22.7,6055747.0,Family Owned,808.0,0,0,69593.0,315555.0,Personal Loan,2894087.0,24,10.43,134117.0,0.4037,0.4779,0
INR0019033,32,Tier 2/3,Salaried,4.0,302098.0,Owned,575.0,1,1,6477.0,111804.0,Personal Loan,103136.0,24,21.04,5301.0,0.4679,0.3414,0
INR0077881,64,Bengaluru,Salaried,38.4,869339.0,Rented,766.0,0,0,20253.0,54259.0,Personal Loan,131576.0,48,8.99,3273.0,0.3248,0.1514,0
INR0073477,55,Delhi NCR,Salaried,24.0,673713.0,Owned,672.0,3,0,13612.0,408507.0,Personal Loan,318906.0,24,14.39,15370.0,0.5162,0.4734,0
INR0073268,52,Pune,Salaried,15.6,547112.0,Owned,648.0,1,0,4677.0,57920.0,Personal Loan,75114.0,36,15.79,2633.0,0.1603,0.1373,0
INR0033833,53,Delhi NCR,Salaried,25.7,1045351.0,Family Owned,668.0,2,1,8157.0,40094.0,Home Improvement,327676.0,18,15.71,20552.0,0.3296,0.3135,0
INR0058975,23,Bengaluru,Salaried,0.0,1052361.0,Owned,658.0,3,1,32706.0,128352.0,Consumer Durable,293080.0,18,15.31,18327.0,0.5819,0.2785,0
INR0015624,48,Mumbai,Salaried,16.5,1013453.0,Owned,657.0,1,0,6465.0,40293.0,Personal Loan,161014.0,18,14.92,10039.0,0.1954,0.1589,0
INR0031997,48,Tier 2/3,Salaried,25.1,422920.0,Family Owned,764.0,0,0,6538.0,24959.0,Personal Loan,327379.0,24,11.19,15287.0,0.6193,0.7741,0
INR0011725,25,Mumbai,Salaried,0.9,528112.0,Rented,564.0,2,2,8230.0,57942.0,Two Wheeler,20000.0,24,22.03,1038.0,0.2106,0.0379,0
INR0045301,35,Delhi NCR,Salaried,0.8,548547.0,Owned,598.0,4,0,14310.0,32467.0,Consumer Durable,148390.0,12,20.16,13757.0,0.614,0.2705,0
INR0033160,60,Hyderabad,Salaried,34.9,1139409.0,Rented,696.0,1,0,6135.0,77511.0,Consumer Durable,458157.0,36,13.56,15562.0,0.2285,0.4021,0
INR0008033,21,Bengaluru,Salaried,0.0,500022.0,Rented,554.0,1,2,15619.0,50980.0,Consumer Durable,188958.0,36,22.37,7253.0,0.5489,0.3779,0
INR0038022,54,Hyderabad,Self Employed,21.0,551584.0,Rented,674.0,0,0,5963.0,86565.0,Personal Loan,21215.0,36,14.44,730.0,0.1456,0.0385,0
INR0064508,52,Bengaluru,Professional,24.4,1033559.0,Owned,707.0,0,0,42385.0,129347.0,Consumer Durable,387816.0,24,11.32,18133.0,0.7026,0.3752,0
INR0062771,54,Mumbai,Salaried,28.6,1461744.0,Owned,693.0,0,0,57373.0,169855.0,Two Wheeler,1200132.0,24,12.17,56591.0,0.9356,0.821,0
INR0065926,21,Hyderabad,Salaried,0.0,222668.0,Owned,552.0,2,0,7263.0,22728.0,Personal Loan,239393.0,60,18.49,6143.0,0.7225,1.0751,0
INR0019082,23,Kolkata,Salaried,0.0,585401.0,Family Owned,541.0,4,2,27063.0,108291.0,Two Wheeler,89064.0,24,22.66,4650.0,0.6501,0.1521,1
INR0095857,38,Mumbai,Self Employed,8.1,1131056.0,Family Owned,605.0,0,0,36370.0,168349.0,Personal Loan,455919.0,48,17.5,13273.0,0.5267,0.4031,0
INR0017090,39,Mumbai,Salaried,14.9,799905.0,Family Owned,668.0,1,0,6636.0,72613.0,Home Improvement,347465.0,36,14.75,12003.0,0.2796,0.4344,0
INR0016392,42,Hyderabad,Self Employed,10.7,445909.0,Family Owned,647.0,2,0,12366.0,89817.0,Two Wheeler,78858.0,12,15.25,7127.0,0.5246,0.1768,0
INR0059055,57,Hyderabad,Salaried,27.0,1174454.0,Rented,667.0,1,0,7019.0,76230.0,Two Wheeler,144804.0,36,14.94,5015.0,0.123,0.1233,0
INR0044653,59,Kolkata,Salaried,36.8,1042849.0,Rented,730.0,0,0,12683.0,82739.0,Personal Loan,186183.0,18,10.57,11231.0,0.2752,0.1785,0
INR0078193,34,Tier 2/3,Salaried,0.0,252404.0,Owned,694.0,0,0,7212.0,15940.0,Personal Loan,59505.0,48,13.44,1609.0,0.4194,0.2358,0
INR0068482,34,Mumbai,Self Employed,9.6,570549.0,Owned,600.0,3,3,12277.0,69189.0,Personal Loan,254223.0,36,22.02,9712.0,0.4625,0.4456,1
INR0072186,24,Ahmedabad,Self Employed,0.0,1016027.0,Family Owned,621.0,5,1,17724.0,90685.0,Personal Loan,127253.0,24,20.22,6491.0,0.286,0.1252,0
INR0042860,59,Mumbai,Salaried,32.6,1925947.0,Owned,,1,0,69890.0,127350.0,Personal Loan,142912.0,36,13.14,4825.0,0.4655,0.0742,0
INR0057180,64,Tier 2/3,Salaried,35.7,1035049.0,Owned,852.0,0,1,15161.0,134625.0,Home Improvement,294906.0,24,8.0,13338.0,0.3304,0.2849,0
INR0066752,60,Mumbai,Professional,25.9,386199.0,Rented,629.0,0,1,16287.0,4524.0,Personal Loan,209074.0,12,15.51,18921.0,1.094,0.5414,0
INR0058634,37,Tier 2/3,Self Employed,4.9,136490.0,Family Owned,627.0,1,0,602.0,40364.0,Personal Loan,40079.0,12,19.42,3702.0,0.3784,0.2936,0
INR0002019,40,Bengaluru,Salaried,15.4,372146.0,Rented,551.0,4,1,6068.0,75993.0,Two Wheeler,75934.0,36,23.79,2971.0,0.2914,0.204,0
INR0052598,39,Tier 2/3,Salaried,5.7,130130.0,Owned,567.0,1,1,5434.0,9105.0,Two Wheeler,27539.0,36,20.38,1029.0,0.596,0.2116,1
INR0081164,41,Delhi NCR,Salaried,12.8,641293.0,Rented,597.0,0,1,15367.0,39293.0,Personal Loan,78821.0,24,19.69,4000.0,0.3624,0.1229,0
INR0027660,28,Tier 2/3,Salaried,0.0,680928.0,Rented,584.0,2,1,21135.0,57465.0,Consumer Durable,492615.0,12,20.54,45760.0,1.1789,0.7234,1
INR0065859,22,Ahmedabad,Self Employed,0.0,967070.0,Owned,648.0,1,1,28725.0,220968.0,Two Wheeler,65879.0,24,15.44,3208.0,0.3962,0.0681,0
INR0000719,53,Tier 2/3,Salaried,16.6,677515.0,Family Owned,738.0,0,0,11614.0,20690.0,Consumer Durable,93702.0,12,14.08,8417.0,0.3548,0.1383,0
INR0092115,54,Bengaluru,Salaried,24.7,588102.0,Rented,738.0,0,0,9458.0,235185.0,Personal Loan,750907.0,36,9.98,24222.0,0.6872,1.2768,0
INR0041178,49,Mumbai,Salaried,19.0,1406196.0,Rented,735.0,0,0,8202.0,376352.0,Consumer Durable,188372.0,24,11.81,8850.0,0.1455,0.134,0
INR0092431,65,Mumbai,Contract,39.9,969289.0,Rented,734.0,0,0,33282.0,61440.0,Personal Loan,125351.0,60,12.37,2812.0,0.4469,0.1293,0
INR0056070,32,Hyderabad,Self Employed,0.8,284465.0,Rented,630.0,1,2,8832.0,5354.0,Consumer Durable,40406.0,24,19.55,2048.0,0.459,0.142,0
INR0001614,63,Tier 2/3,Self Employed,36.8,892184.0,Owned,655.0,2,1,21479.0,19334.0,Business Loan,288904.0,24,17.41,14341.0,0.4818,0.3238,0
INR0063925,55,Delhi NCR,Self Employed,24.3,726905.0,Owned,663.0,1,0,19675.0,414996.0,Consumer Durable,183326.0,24,14.32,8830.0,0.4706,0.2522,0
INR0084691,63,Bengaluru,Salaried,28.0,1500813.0,Family Owned,749.0,0,0,28423.0,79439.0,Personal Loan,1172123.0,18,11.36,71129.0,0.796,0.781,0
INR0081374,61,Mumbai,Salaried,34.5,638235.0,Owned,769.0,0,0,11124.0,45019.0,Business Loan,262629.0,24,11.8,12339.0,0.4411,0.4115,0
INR0077455,48,Pune,Contract,15.5,849603.0,Rented,600.0,2,1,11322.0,137194.0,Consumer Durable,214339.0,12,18.06,19657.0,0.4376,0.2523,0
INR0019211,56,Delhi NCR,Salaried,25.0,1099513.0,Owned,798.0,0,0,23237.0,112693.0,Two Wheeler,484114.0,36,11.8,16032.0,0.4286,0.4403,0
INR0005404,52,Hyderabad,Salaried,32.3,1373102.0,Rented,733.0,0,0,35073.0,404861.0,Personal Loan,1503093.0,36,11.69,49704.0,0.7409,1.0947,0
INR0065009,51,Tier 2/3,Salaried,26.0,918930.0,Family Owned,732.0,1,0,11832.0,153350.0,Two Wheeler,114952.0,36,11.56,3794.0,0.2041,0.1251,0
INR0026698,44,Bengaluru,Self Employed,13.8,957690.0,Rented,643.0,1,0,13344.0,31139.0,Personal Loan,384639.0,36,15.63,13453.0,0.3358,0.4016,0
INR0026258,46,Tier 2/3,Salaried,5.5,1210579.0,Owned,618.0,2,1,10422.0,347277.0,Personal Loan,238019.0,60,18.24,6075.0,0.1635,0.1966,0
INR0043531,21,Tier 2/3,Professional,0.0,903165.0,Rented,627.0,3,0,25733.0,361866.0,Business Loan,241433.0,24,16.74,11906.0,0.5001,0.2673,0
INR0060439,32,Bengaluru,Salaried,1.7,848492.0,Family Owned,618.0,1,1,4909.0,155350.0,Personal Loan,181635.0,24,17.78,9049.0,0.1974,0.2141,0
INR0078146,54,Bengaluru,Salaried,26.2,1451493.0,Rented,730.0,0,0,37454.0,507059.0,Consumer Durable,1194565.0,24,11.07,55715.0,0.7703,0.823,0
INR0072872,41,Delhi NCR,Contract,3.5,404928.0,Rented,606.0,0,0,10470.0,23322.0,Two Wheeler,175337.0,48,16.83,5044.0,0.4598,0.433,0
INR0095394,23,Delhi NCR,Self Employed,0.0,272473.0,Owned,693.0,0,0,343.0,20156.0,Consumer Durable,197754.0,24,14.33,9525.0,0.4346,0.7258,0
INR0038247,27,Tier 2/3,Professional,4.1,730047.0,Owned,571.0,5,0,930.0,58901.0,Personal Loan,238797.0,24,21.27,12302.0,0.2175,0.3271,0
INR0041244,53,Mumbai,Salaried,27.5,2160823.0,Rented,793.0,0,0,9914.0,158949.0,Home Improvement,1729500.0,18,10.78,104491.0,0.6353,0.8004,0
INR0059014,35,Delhi NCR,Self Employed,6.9,446883.0,Rented,646.0,1,0,8586.0,55029.0,Business Loan,431833.0,24,15.35,21009.0,0.7947,0.9663,0
INR0021469,22,Mumbai,Professional,0.0,557404.0,Owned,590.0,0,2,30603.0,98012.0,Two Wheeler,29354.0,12,19.85,2717.0,0.7173,0.0527,1
INR0008324,47,Tier 2/3,Salaried,17.3,1405997.0,Rented,651.0,1,1,14820.0,176019.0,Personal Loan,589200.0,36,16.35,20815.0,0.3041,0.4191,0
INR0011553,57,Mumbai,Salaried,31.4,410337.0,Owned,612.0,2,0,5277.0,13963.0,Consumer Durable,383996.0,36,20.15,14299.0,0.5725,0.9358,0
INR0026392,25,Tier 2/3,Self Employed,1.6,208618.0,Owned,689.0,0,0,1705.0,43651.0,Personal Loan,80690.0,36,14.29,2769.0,0.2574,0.3868,0
INR0070090,33,Mumbai,Self Employed,16.7,1577353.0,Owned,648.0,1,2,27164.0,267857.0,Consumer Durable,402456.0,18,18.41,25758.0,0.4026,0.2551,0
INR0018999,38,Pune,Self Employed,1.3,242496.0,Family Owned,564.0,2,2,10109.0,28181.0,Two Wheeler,56932.0,36,22.92,2202.0,0.6092,0.2348,1
INR0098532,36,Mumbai,Salaried,4.4,503789.0,Rented,560.0,1,0,7181.0,51792.0,Home Improvement,157540.0,24,18.45,7899.0,0.3592,0.3127,0
INR0002344,65,Kolkata,Professional,35.9,828951.0,Family Owned,804.0,1,0,17396.0,149015.0,Business Loan,1053121.0,12,8.19,91703.0,1.25,1.2704,0
INR0050626,38,Delhi NCR,Salaried,0.0,1131356.0,Rented,660.0,0,0,27388.0,135598.0,Personal Loan,264069.0,36,15.81,9260.0,0.3887,0.2334,0
INR0011051,46,Bengaluru,Salaried,13.8,769844.0,Family Owned,679.0,1,0,2999.0,56624.0,Consumer Durable,189193.0,36,14.51,6514.0,0.1483,0.2458,0
INR0037780,53,Delhi NCR,Self Employed,25.6,1112018.0,Owned,742.0,0,0,4618.0,63481.0,Personal Loan,697205.0,36,10.13,22539.0,0.2931,0.627,0
INR0033619,26,Chennai,Salaried,0.0,263030.0,Owned,524.0,4,1,10573.0,109926.0,Personal Loan,171614.0,12,22.68,16119.0,1.2177,0.6525,1
INR0060305,26,Delhi NCR,Salaried,0.0,2012012.0,Rented,635.0,5,1,31345.0,430858.0,Personal Loan,482701.0,24,18.56,24229.0,0.3314,0.2399,0
INR0084485,60,Tier 2/3,Self Employed,27.8,362882.0,Owned,788.0,0,0,8832.0,33891.0,Business Loan,264511.0,36,10.03,8538.0,0.5744,0.7289,0
INR0049552,42,Hyderabad,Self Employed,13.8,997107.0,Family Owned,712.0,0,1,38559.0,64097.0,Two Wheeler,81516.0,48,13.66,2214.0,0.4907,0.0818,0
INR0046589,37,Tier 2/3,Self Employed,12.3,135342.0,Owned,654.0,0,0,3686.0,23317.0,Personal Loan,31657.0,12,14.03,2843.0,0.5789,0.2339,0
INR0018580,32,Delhi NCR,Salaried,8.6,555193.0,Family Owned,581.0,0,0,28427.0,88497.0,Personal Loan,307793.0,12,19.22,28398.0,1.2282,0.5544,0
INR0004779,55,Ahmedabad,Salaried,32.1,660388.0,Family Owned,675.0,2,0,22604.0,66676.0,Personal Loan,139359.0,60,15.62,3361.0,0.4718,0.211,0
INR0071299,36,Tier 2/3,Salaried,6.3,215028.0,Rented,600.0,1,1,5412.0,22194.0,Personal Loan,49947.0,36,20.85,1878.0,0.4069,0.2323,0
INR0032157,50,Mumbai,Salaried,16.6,1931877.0,Family Owned,692.0,1,0,11638.0,225806.0,Two Wheeler,359706.0,24,12.04,16940.0,0.1775,0.1862,0
INR0029208,53,Ahmedabad,Salaried,32.8,1269344.0,Rented,747.0,0,0,12343.0,62011.0,Two Wheeler,183831.0,24,10.56,8530.0,0.1973,0.1448,0
INR0023039,40,Chennai,Self Employed,14.2,1658069.0,Rented,662.0,0,0,7273.0,767510.0,Business Loan,1476028.0,36,11.62,48758.0,0.4055,0.8902,0
INR0051262,22,Tier 2/3,Salaried,0.0,446162.0,Rented,682.0,0,1,14503.0,46432.0,Business Loan,125892.0,24,14.3,6062.0,0.5531,0.2822,0
INR0047134,47,Hyderabad,Salaried,0.7,860526.0,Rented,630.0,0,0,18277.0,115766.0,Personal Loan,200328.0,12,14.81,18063.0,0.5068,0.2328,0
INR0075230,41,Tier 2/3,Salaried,5.1,634043.0,Rented,572.0,3,0,9495.0,93357.0,Personal Loan,201442.0,24,18.61,10116.0,0.3712,0.3177,0
INR0060495,34,Tier 2/3,Salaried,8.0,163343.0,Family Owned,718.0,1,0,4133.0,28802.0,Personal Loan,24067.0,18,13.23,1481.0,0.4125,0.1473,0
INR0008239,56,Bengaluru,Self Employed,35.8,3268055.0,Rented,794.0,0,0,115327.0,620445.0,Personal Loan,2201519.0,24,8.0,99569.0,0.7891,0.6736,1
INR0062159,54,Tier 2/3,Salaried,25.3,701663.0,Owned,707.0,1,0,27943.0,24644.0,Consumer Durable,92471.0,24,14.58,4465.0,0.5543,0.1318,0
INR0083711,31,Delhi NCR,Self Employed,4.6,1330304.0,Owned,703.0,1,0,53582.0,28959.0,Two Wheeler,220722.0,12,12.55,19668.0,0.6607,0.1659,0
INR0045592,44,Chennai,Salaried,12.9,699606.0,Family Owned,622.0,2,0,980.0,58523.0,Business Loan,181290.0,60,17.54,4559.0,0.095,0.2591,0
INR0006168,24,Bengaluru,Self Employed,0.0,453365.0,Rented,622.0,1,0,6964.0,32357.0,Personal Loan,116278.0,24,17.59,5782.0,0.3374,0.2565,0
INR0034847,51,Hyderabad,Salaried,16.2,1189995.0,Owned,630.0,1,0,12736.0,145931.0,Personal Loan,208331.0,12,13.82,18688.0,0.3169,0.1751,0
INR0081576,62,Kolkata,Salaried,33.5,338422.0,Owned,635.0,1,1,9145.0,16591.0,Consumer Durable,57517.0,60,15.64,1388.0,0.3735,0.17,0
INR0086024,29,Delhi NCR,Salaried,3.2,485162.0,Family Owned,662.0,0,0,980.0,51274.0,Consumer Durable,160737.0,18,14.4,9982.0,0.2711,0.3313,0
INR0024199,41,Delhi NCR,Self Employed,20.6,409654.0,Rented,708.0,1,0,4158.0,60705.0,Personal Loan,271191.0,60,12.7,6129.0,0.3013,0.662,0
INR0016195,52,Pune,Self Employed,27.9,629993.0,Rented,707.0,0,0,23891.0,310825.0,Business Loan,354318.0,18,12.02,21611.0,0.8667,0.5624,0
INR0070235,24,Kolkata,Salaried,0.0,276707.0,Rented,590.0,1,0,453.0,30346.0,Personal Loan,128739.0,24,18.2,6439.0,0.2989,0.4653,0
INR0014933,29,Mumbai,Salaried,5.1,569804.0,Owned,604.0,0,1,13178.0,14981.0,Personal Loan,204899.0,18,18.27,13100.0,0.5534,0.3596,0
INR0074862,48,Mumbai,Salaried,23.4,671803.0,Rented,656.0,1,0,5806.0,133099.0,Personal Loan,221223.0,36,14.5,7614.0,0.2397,0.3293,0
INR0010881,33,Tier 2/3,Professional,2.4,588263.0,Owned,619.0,0,0,3563.0,24699.0,Personal Loan,469259.0,36,16.47,16607.0,0.4114,0.7977,0
INR0030729,45,Bengaluru,Contract,15.4,413713.0,Family Owned,670.0,0,0,4177.0,35215.0,Home Improvement,95486.0,60,14.08,2226.0,0.1857,0.2308,0
INR0047941,58,Delhi NCR,Professional,35.6,878412.0,Family Owned,628.0,0,1,13339.0,30042.0,Personal Loan,492340.0,48,17.12,14237.0,0.3767,0.5605,0
INR0083243,56,Tier 2/3,Self Employed,32.5,864745.0,Rented,771.0,2,0,4444.0,69748.0,Business Loan,472837.0,48,9.28,11830.0,0.2258,0.5468,0
INR0088222,53,Ahmedabad,Self Employed,18.4,900401.0,Owned,686.0,0,0,22288.0,197206.0,Personal Loan,333121.0,24,14.02,15998.0,0.5102,0.37,0
INR0005501,36,Hyderabad,Self Employed,1.3,780534.0,Rented,589.0,1,2,18192.0,61454.0,Business Loan,229477.0,36,21.09,8656.0,0.4128,0.294,0
INR0079331,25,Ahmedabad,Contract,0.0,282947.0,Family Owned,652.0,2,0,9280.0,42081.0,Two Wheeler,20000.0,60,15.45,481.0,0.414,0.0707,0
INR0014735,62,Delhi NCR,Salaried,38.6,540886.0,Family Owned,690.0,0,0,10481.0,36287.0,Two Wheeler,70593.0,12,12.82,6299.0,0.3723,0.1305,0
INR0041860,22,Kolkata,Salaried,1.9,419882.0,Rented,593.0,2,1,8891.0,292695.0,Personal Loan,440670.0,60,18.14,11223.0,0.5749,1.0495,1
INR0020646,26,Tier 2/3,Self Employed,0.0,1897183.0,Owned,591.0,3,1,16265.0,230946.0,Consumer Durable,1117971.0,36,19.81,41440.0,0.365,0.5893,0
INR0050168,55,Hyderabad,Self Employed,23.9,1565091.0,Family Owned,769.0,1,0,23515.0,263814.0,Two Wheeler,400295.0,36,9.97,12910.0,0.2793,0.2558,0
INR0089405,36,Ahmedabad,Contract,9.7,241376.0,Owned,603.0,0,1,13458.0,19939.0,Personal Loan,189425.0,24,18.52,9504.0,1.1416,0.7848,0
INR0003316,21,Kolkata,Salaried,0.0,300540.0,Rented,570.0,1,1,7366.0,34338.0,Two Wheeler,51232.0,60,20.44,1370.0,0.3488,0.1705,0
INR0071667,42,Bengaluru,Salaried,4.6,1283153.0,Rented,601.0,1,1,11870.0,376409.0,Consumer Durable,507386.0,60,19.42,13279.0,0.2352,0.3954,0
INR0000381,30,Tier 2/3,Salaried,0.2,1069616.0,Family Owned,606.0,2,2,26309.0,90036.0,Personal Loan,242066.0,36,19.23,8901.0,0.395,0.2263,0
INR0005372,32,Mumbai,Salaried,0.0,120000.0,Owned,567.0,2,0,3843.0,13361.0,Personal Loan,32991.0,24,19.69,1674.0,0.5517,0.2749,1
INR0062539,47,Ahmedabad,Salaried,16.4,1024001.0,Rented,736.0,1,0,20762.0,167341.0,Personal Loan,523297.0,24,11.14,24424.0,0.5295,0.511,0
INR0003822,28,Hyderabad,Salaried,0.7,568507.0,Family Owned,694.0,0,0,5128.0,55088.0,Two Wheeler,108592.0,60,11.58,2393.0,0.1587,0.191,0
INR0060203,50,Ahmedabad,Salaried,13.4,1241724.0,Owned,582.0,1,1,44247.0,189602.0,Consumer Durable,236026.0,24,19.42,11946.0,0.543,0.1901,0
INR0039411,44,Delhi NCR,Salaried,8.1,780852.0,Rented,697.0,0,0,17564.0,132521.0,Consumer Durable,952143.0,36,11.59,31440.0,0.7531,1.2194,0
INR0055826,37,Pune,Self Employed,7.0,121749.0,Owned,637.0,0,0,2584.0,4785.0,Consumer Durable,24299.0,24,16.49,1195.0,0.3726,0.1996,0
INR0026826,56,Tier 2/3,Self Employed,35.5,666820.0,Family Owned,802.0,1,0,30170.0,130050.0,Personal Loan,226614.0,48,8.87,5625.0,0.6442,0.3398,0
INR0047037,44,Pune,Self Employed,17.2,659584.0,Family Owned,660.0,3,1,20926.0,49518.0,Personal Loan,596634.0,36,18.48,21713.0,0.7758,0.9046,0
INR0036531,41,Pune,Self Employed,8.5,1017335.0,Rented,654.0,1,0,21944.0,87022.0,Two Wheeler,81140.0,18,13.26,4996.0,0.3178,0.0798,0
INR0070447,34,Delhi NCR,Salaried,6.7,439156.0,Family Owned,659.0,0,0,2836.0,13728.0,Personal Loan,27838.0,36,14.54,959.0,0.1037,0.0634,0
INR0056774,39,Bengaluru,Salaried,9.0,643046.0,Family Owned,650.0,1,0,9393.0,114976.0,Personal Loan,248426.0,36,14.91,8601.0,0.3358,0.3863,0
INR0059623,52,Chennai,Self Employed,19.4,504602.0,Owned,744.0,1,0,11431.0,36037.0,Personal Loan,157169.0,36,15.13,5458.0,0.4017,0.3115,0
INR0093367,32,Bengaluru,Self Employed,4.8,1542197.0,Rented,732.0,0,0,26278.0,575277.0,Personal Loan,202667.0,36,12.52,6781.0,0.2572,0.1314,0
INR0056207,27,Kolkata,Salaried,0.0,488142.0,Owned,626.0,2,0,17785.0,19341.0,Two Wheeler,141483.0,36,15.98,4973.0,0.5594,0.2898,0
INR0033944,57,Ahmedabad,Salaried,30.2,1303656.0,Owned,705.0,0,0,23832.0,75573.0,Home Improvement,326365.0,12,14.03,29309.0,0.4892,0.2503,0
